Ref,Val,Package,PosX,PosY,Rot,Side
"QA1","MDP10N027","TO-220-3_Horizontal_TabUp",-53.460000,-70.000000,0.000000,bottom
"QA2","MDP10N027","TO-220-3_Horizontal_TabUp",-79.540000,-78.750000,180.000000,bottom
"QA3","MDP10N027","TO-220-3_Horizontal_TabUp",-63.960000,-70.000000,0.000000,bottom
"QA4","MDP10N027","TO-220-3_Horizontal_TabUp",-69.040000,-78.750000,180.000000,bottom
"QA5","MDP10N027","TO-220-3_Horizontal_TabUp",-74.460000,-70.000000,0.000000,bottom
"QA6","MDP10N027","TO-220-3_Horizontal_TabUp",-58.540000,-78.750000,180.000000,bottom
"QB1","MDP10N027","TO-220-3_Horizontal_TabUp",-107.960000,-70.000000,0.000000,bottom
"QB2","MDP10N027","TO-220-3_Horizontal_TabUp",-113.040000,-78.750000,180.000000,bottom
"QB3","MDP10N027","TO-220-3_Horizontal_TabUp",-97.460000,-70.000000,0.000000,bottom
"QB4","MDP10N027","TO-220-3_Horizontal_TabUp",-102.540000,-78.750000,180.000000,bottom
"QB5","MDP10N027","TO-220-3_Horizontal_TabUp",-86.960000,-70.000000,0.000000,bottom
"QB6","MDP10N027","TO-220-3_Horizontal_TabUp",-92.040000,-78.750000,180.000000,bottom
"QC1","MDP10N027","TO-220-3_Horizontal_TabUp",-120.460000,-70.000000,0.000000,bottom
"QC2","MDP10N027","TO-220-3_Horizontal_TabUp",-136.040000,-78.750000,180.000000,bottom
"QC3","MDP10N027","TO-220-3_Horizontal_TabUp",-130.960000,-70.000000,0.000000,bottom
"QC4","MDP10N027","TO-220-3_Horizontal_TabUp",-146.540000,-78.750000,180.000000,bottom
"QC5","MDP10N027","TO-220-3_Horizontal_TabUp",-141.460000,-70.000000,0.000000,bottom
"QC6","MDP10N027","TO-220-3_Horizontal_TabUp",-125.540000,-78.750000,180.000000,bottom
